scenario,timeout_low_ms,timeout_high_ms,seed,trial,old_leader,new_leader,crash_time_ms,election_start_ms,leader_elected_ms,first_heartbeat_ms,failover_ms
leader_crash_restart,6000,10000,0,1,-1,1,0,0,0,30537,30537
leader_crash_restart,6000,10000,0,1,-1,4,48170,0,52624,54635,6465
leader_crash_restart,6000,10000,0,1,-1,1,48170,76957,88762,90762,42592
leader_crash_restart,6000,10000,0,1,-1,1,48170,119955,130912,132925,84755
leader_crash_restart,6000,10000,0,1,-1,5,150066,119955,154993,157003,6937
leader_crash_restart,6000,10000,0,1,-1,4,150066,193555,199129,201142,51076
leader_crash_restart,6000,10000,0,1,-1,3,150066,234116,239341,241341,91275
leader_crash_restart,6000,10000,0,1,-1,2,150066,296172,307607,309617,159551
leader_crash_restart,6000,10000,0,1,-1,1,341144,296172,349767,351779,10635
leader_crash_restart,6000,10000,0,1,-1,2,393437,296172,402030,404033,10596
leader_crash_restart,6000,10000,0,1,-1,5,451036,296172,456270,458281,7245
leader_crash_restart,6000,10000,0,1,-1,3,451036,486331,490423,500473,49437
leader_crash_restart,6000,10000,0,1,-1,2,451036,539285,544628,546629,95593
leader_crash_restart,6000,10000,0,1,-1,5,568840,539285,574751,576754,7914
leader_crash_restart,6000,10000,0,1,-1,3,607178,539285,612924,614937,7759
leader_crash_restart,6000,10000,0,1,-1,4,607178,667108,673152,675165,67987
leader_crash_restart,6000,10000,0,1,-1,5,692965,667108,697241,699241,6276
leader_crash_restart,6000,10000,0,1,-1,1,692965,744689,755500,757515,64550
leader_crash_restart,6000,10000,0,1,-1,3,692965,784725,791666,793678,100713
leader_crash_restart,6000,10000,0,1,-1,2,827761,784725,831819,833832,6071
leader_crash_restart,6000,10000,0,1,-1,1,827761,882684,894100,896101,68340
leader_crash_restart,6000,10000,0,1,-1,5,923326,882684,928246,930259,6933
leader_crash_restart,6000,10000,0,1,-1,4,923326,973263,978456,980472,57146
leader_crash_restart,6000,10000,0,1,-1,1,1006873,973263,1012664,1018671,11798
leader_crash_restart,6000,10000,0,1,-1,2,1020754,973263,1030710,1032711,11957
leader_crash_restart,6000,10000,0,1,-1,3,1020754,1073581,1080909,1082911,62157
leader_crash_restart,6000,10000,0,1,-1,4,1020754,1119982,1127133,1129146,108392
leader_crash_restart,6000,10000,0,1,-1,1,1163195,1119982,1167287,1169296,6101
leader_crash_restart,6000,10000,0,1,-1,3,1163195,1223482,1229525,1231529,68334
leader_crash_restart,6000,10000,0,1,-1,3,1265397,1223482,1283756,1285755,20358
leader_crash_restart,6000,10000,0,1,-1,2,1299093,1223482,1303823,1305837,6744
leader_crash_restart,6000,10000,0,1,-1,2,1368018,1342634,1372080,1374087,6069
leader_crash_restart,6000,10000,0,1,-1,5,1368018,1407592,1412243,1414245,46227
leader_crash_restart,6000,10000,0,1,-1,3,1368018,1440851,1446394,1448407,80389
leader_crash_restart,6000,10000,0,1,-1,2,1488165,1440851,1496654,1498669,10504
leader_crash_restart,6000,10000,0,1,-1,1,1488165,1547207,1558942,1562968,74803
leader_crash_restart,6000,10000,0,1,-1,4,1488165,1634825,1641372,1645384,157219
leader_crash_restart,6000,10000,0,1,-1,5,1488165,1676982,1683541,1685545,197380
leader_crash_restart,6000,10000,0,1,-1,3,1721081,1676982,1725712,1727723,6642
leader_crash_restart,6000,10000,0,1,-1,2,1721081,1779007,1783938,1789967,68886
leader_crash_restart,6000,10000,0,1,-1,3,1804295,1779007,1810025,1812033,7738
leader_crash_restart,6000,10000,0,1,-1,1,1804295,1837206,1850237,1852247,47952
leader_crash_restart,6000,10000,0,1,-1,2,1874697,1837206,1880379,1882393,7696
leader_crash_restart,6000,10000,0,1,-1,5,1874697,1907667,1914530,1916529,41832
leader_crash_restart,6000,10000,0,1,-1,2,1943799,1907667,1948639,1950651,6852
leader_crash_restart,6000,10000,0,1,-1,4,1943799,1985850,1990811,1992822,49023
leader_crash_restart,6000,10000,0,1,-1,5,1943799,2046202,2051117,2053130,109331
leader_crash_restart,6000,10000,0,1,-1,3,1943799,2112513,2117395,2119410,175611
leader_crash_restart,6000,10000,0,1,-1,1,1943799,2152823,2163622,2165622,221823
leader_crash_restart,6000,10000,0,1,-1,4,2195683,2152823,2199755,2201767,6084
leader_crash_restart,6000,10000,0,1,-1,5,2195683,2210515,2215818,2217824,22141
leader_crash_restart,6000,10000,0,1,-1,3,2195683,2260912,2266025,2268034,72351
leader_crash_restart,6000,10000,0,1,-1,4,2195683,2316093,2322271,2324283,128600
leader_crash_restart,6000,10000,0,1,-1,2,2195683,2353655,2366483,2374497,178814
leader_crash_restart,6000,10000,0,1,-1,3,2401347,2353655,2406607,2408611,7264
leader_crash_restart,6000,10000,0,1,-1,5,2401347,2432131,2436731,2440742,39395
leader_crash_restart,6000,10000,0,1,-1,3,2401347,2476711,2482939,2484943,83596
leader_crash_restart,6000,10000,0,1,-1,4,2401347,2528934,2535151,2537152,135805
leader_crash_restart,6000,10000,0,1,-1,2,2401347,2566081,2571286,2579319,177972
leader_crash_restart,6000,10000,0,1,-1,1,2623051,2566081,2627529,2629540,6489
leader_crash_restart,6000,10000,0,1,-1,1,2623051,2664046,2675670,2677682,54631
leader_crash_restart,6000,10000,0,1,-1,5,2623051,2720639,2725886,2727901,104850
leader_crash_restart,6000,10000,0,1,-1,4,2623051,2751301,2756022,2758031,134980
leader_crash_restart,6000,10000,0,1,-1,5,2790421,2751301,2796225,2798232,7811
leader_crash_restart,6000,10000,0,1,-1,1,2790421,2850279,2866516,2868526,78105
leader_crash_restart,6000,10000,0,1,-1,2,2790421,2903872,2908707,2910722,120301
leader_crash_restart,6000,10000,0,1,-1,4,2963442,2903872,2968979,2970992,7550
leader_crash_restart,6000,10000,0,1,-1,3,2963442,2987863,2993067,2995077,31635
leader_crash_restart,6000,10000,0,1,-1,2,2963442,3050047,3055331,3059355,95913
leader_crash_restart,6000,10000,0,1,-1,1,2963442,3117417,3127666,3129679,166237
leader_crash_restart,6000,10000,0,1,-1,4,2963442,3157854,3163832,3165833,202391
leader_crash_restart,6000,10000,0,1,-1,2,2963442,3194718,3199944,3201955,238513
leader_crash_restart,6000,10000,0,1,-1,1,2963442,3245680,3258174,3260187,296745
leader_crash_restart,6000,10000,0,1,-1,5,2963442,3294459,3302372,3306389,342947
leader_crash_restart,6000,10000,0,1,-1,4,2963442,3331566,3336523,3338533,375091
leader_crash_restart,6000,10000,0,1,-1,3,3341350,3331566,3346551,3348563,7213
leader_crash_restart,6000,10000,0,1,-1,4,3341350,3392022,3400797,3404814,63464
leader_crash_restart,6000,10000,0,1,-1,2,3341350,3441309,3449015,3457061,115711
